po/sr-RS/mail/chrome/messenger/addressbook/abNewCardDialog.dtd.po:	0 translated messages, 1 untranslated message.
po/sr-RS/mail/chrome/messenger/addressbook/abMailListDialog.dtd.po:	9 translated messages.
po/sr-RS/mail/chrome/messenger/addressbook/abDirTreeOverlay.dtd.po:	1 translated message.
po/sr-RS/mail/chrome/messenger/addressbook/pref-directory-add.dtd.po:	21 translated messages.
po/sr-RS/mail/chrome/messenger/addressbook/abResultsPaneOverlay.dtd.po:	19 translated messages, 2 untranslated messages.
po/sr-RS/mail/chrome/messenger/addressbook/abSelectAddressesDialog.dtd.po:	13 translated messages, 2 untranslated messages.
po/sr-RS/mail/chrome/messenger/addressbook/abAddressBookNameDialog.dtd.po:	0 translated messages, 1 untranslated message.
po/sr-RS/mail/chrome/messenger/addressbook/abCardViewOverlay.dtd.po:	9 translated messages.
po/sr-RS/mail/chrome/messenger/addressbook/replicationProgress.properties.po:	6 translated messages, 4 untranslated messages.
po/sr-RS/mail/chrome/messenger/addressbook/addressBook.properties.po:	87 translated messages, 1 untranslated message.
po/sr-RS/mail/chrome/messenger/addressbook/abCardOverlay.dtd.po:	27 translated messages, 27 untranslated messages.
po/sr-RS/mail/chrome/messenger/addressbook/ldapAutoCompErrs.properties.po:	15 translated messages, 1 untranslated message.
po/sr-RS/mail/chrome/messenger/addressbook/pref-directory.dtd.po:	7 translated messages, 1 untranslated message.
po/sr-RS/mail/chrome/messenger/addressbook/abMainWindow.dtd.po:	117 translated messages, 1 untranslated message.
po/sr-RS/mail/chrome/messenger/addressbook/abContactsPanel.dtd.po:	4 translated messages, 5 untranslated messages.
po/sr-RS/mail/chrome/messenger/textImportMsgs.properties.po:	7 translated messages.
po/sr-RS/mail/chrome/messenger/mailViewList.dtd.po:	2 translated messages.
po/sr-RS/mail/chrome/messenger/messenger.properties.po:	192 translated messages, 3 untranslated messages.
po/sr-RS/mail/chrome/messenger/am-mdn.properties.po:	1 translated message.
po/sr-RS/mail/chrome/messenger/mailOverlay.dtd.po:	1 translated message, 3 untranslated messages.
po/sr-RS/mail/chrome/messenger/CustomHeaders.dtd.po:	4 translated messages.
po/sr-RS/mail/chrome/messenger/shutdownWindow.properties.po:	0 translated messages, 2 untranslated messages.
po/sr-RS/mail/chrome/messenger/msgAccountCentral.dtd.po:	16 translated messages.
po/sr-RS/mail/chrome/messenger/am-smime.properties.po:	15 translated messages.
po/sr-RS/mail/chrome/messenger/junkMailInfo.dtd.po:	7 translated messages.
po/sr-RS/mail/chrome/messenger/am-identities-list.dtd.po:	3 translated messages, 2 untranslated messages.
po/sr-RS/mail/chrome/messenger/renameFolderDialog.dtd.po:	2 translated messages.
po/sr-RS/mail/chrome/messenger/FilterListDialog.dtd.po:	16 translated messages, 2 untranslated messages.
po/sr-RS/mail/chrome/messenger/shellservice.properties.po:	4 translated messages.
po/sr-RS/mail/chrome/messenger-newsblog/feed-subscriptions.dtd.po:	10 translated messages.
po/sr-RS/mail/chrome/messenger-newsblog/am-newsblog.dtd.po:	8 translated messages, 1 untranslated message.
po/sr-RS/mail/chrome/messenger-newsblog/feed-properties.dtd.po:	7 translated messages.
po/sr-RS/mail/chrome/messenger-newsblog/newsblog.dtd.po:	0 translated messages, 1 untranslated message.
po/sr-RS/mail/chrome/messenger-newsblog/newsblog.properties.po:	17 translated messages, 2 untranslated messages.
po/sr-RS/mail/chrome/messenger-newsblog/am-newsblog.properties.po:	1 translated message.
po/sr-RS/mail/chrome/messenger-region/region.properties.po:	2 translated messages, 1 untranslated message.
po/sr-RS/mail/chrome/mozapps/downloads/pref-downloads.dtd.po:	18 translated messages.
po/sr-RS/mail/installer/installer.inc.po:	56 translated messages, 7 fuzzy translations, 1 untranslated message.
po/sr-RS/mail/installer/mui.properties.po:	43 translated messages.
po/sr-RS/mail/installer/override.properties.po:	61 translated messages.
po/sr-RS/mail/installer/custom.properties.po:	29 translated messages, 20 untranslated messages.
po/sr-RS/mail/defines.inc.po:	1 translated message, 1 untranslated message.
po/sr-RS/editor/ui/chrome/region/region.properties.po:	0 translated messages, 1 untranslated message.
po/sr-RS/editor/ui/chrome/composer/pref-editing.dtd.po:	14 translated messages, 1 untranslated message.
po/sr-RS/editor/ui/chrome/composer/editor.dtd.po:	16 translated messages.
po/sr-RS/editor/ui/chrome/composer/pref-composer.dtd.po:	20 translated messages.
po/sr-RS/editor/ui/chrome/composer/pref-toolbars.dtd.po:	30 translated messages.
po/sr-RS/editor/ui/chrome/composer/editorOverlay.dtd.po:	263 translated messages, 34 untranslated messages.
po/sr-RS/editor/ui/chrome/composer/editorNavigatorOverlay.dtd.po:	2 translated messages.
po/sr-RS/editor/ui/chrome/composer/editor.properties.po:	176 translated messages.
po/sr-RS/editor/ui/chrome/composer/editorSmileyOverlay.dtd.po:	33 translated messages.
po/sr-RS/editor/ui/chrome/composer/editorPrefsOverlay.dtd.po:	5 translated messages.
po/sr-RS/editor/ui/chrome/composer/pref-publish.dtd.po:	8 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorColorProperties.dtd.po:	14 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EdDialogOverlay.dtd.po:	4 translated messages, 3 untranslated messages.
po/sr-RS/editor/ui/chrome/dialogs/EdLinkChecker.dtd.po:	7 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorFormProperties.dtd.po:	8 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorButtonProperties.dtd.po:	12 translated messages.
